videoname,TSV,B,SR,S,U,O
1-4.mp4,2.5644,1.8566,2.45,1.9687,2.9056,4.1097
1-9.mp4,1.364,0.423,1.0583,0.75376,0.87774,1.7056
1-11.mp4,0.85,1.6565,1.215,0.63881,1.256,2.6524
1-12.mp4,2.2016,2.0323,1.9054,2.207,2.5443,3.91
1-13.mp4,0.85,1.2356,0.654,0.13139,0.6565,1.2056
1-14.mp4,0.9235,1.3311,1.356,1.0388,0.92656,1.846
1-15.mp4,0.96917,1.4565,0.85545,0.8254,1.4656,2.56
1-16.mp4,1.345,1.856,1.6545,1.3003,1.032,2.3605
1-17.mp4,0.45,1.4656,1.3545,0.36405,0.565,1.34
1-18.mp4,0.9454,1.5686,0.895,0.74001,1.3656,2.456
1-19.mp4,0.44623,1.506,1.452,0.33091,0.24448,1.4162
1-22.mp4,0.60707,1.7066,1.6,0,0.256,1.4056
1-23.mp4,0.95,1.565,1.5684,0.40128,1.456,1.6649
2-1.mp4,1.9321,2.8565,2.452,1.8637,2.406,3.6081
2-4.mp4,1.2,1.356,0.9654,0.76918,1.76,2.789
2-6.mp4,2.2013,2.9656,2.454,2.2774,2.785,4.8569
2-8.mp4,2.3221,2.7565,1.8565,1.9784,2.2769,4.0711
2-9.mp4,1.6827,1.7565,1.5523,1.839,2.4265,3.7563
2-10.mp4,1.4,1.6566,1.3648,0.68874,1.4057,2.956
2-11.mp4,1.8624,1.0232,1.4722,1.1914,1.7056,2.656
2-14.mp4,1.6014,1.5247,1.155,0.80164,1.6273,3.056
2-16.mp4,2.4397,2.7656,1.7054,1.7962,1.765,3.3211
2-17.mp4,2.5679,1.8656,1.8565,2.0574,2.25,3.9896
2-18.mp4,2.371,2.856,1.8545,2.2243,2.5473,4.3313
2-19.mp4,0.8,1.032,0.85,0.78496,0.8565,1.6056
2-20.mp4,1.3545,1.359,1.1565,0.77432,1.4549,2.2713
2-21.mp4,0.72094,1.1232,0.88521,0.4249,0.756,1.3883
2-22.mp4,1.654,1.6138,0.21545,0.54876,1.1618,2.565
2-23.mp4,1.354,1.3565,0.7556,0.80676,0.7565,2.023
2-24.mp4,0.75,1.7865,0.099618,0,0.14586,1.25
2-25.mp4,0.4,1.856,0.26355,0.1005,0.13032,1.256
2-26.mp4,0.1,1.756,1.2,0.057121,0.23,1.3456
3-3.mp4,1.8027,1.2323,1.604,1.5548,2.356,3.4568
3-4.mp4,2.1695,1.8565,0.6562,2.2333,2.0758,3.0801
3-7.mp4,2.1547,0.685,1.234,0.9292,0.8456,2.5177
3-8.mp4,1.9131,0.8565,0.654,1.1968,1.4572,2.898
