iter	RMSE
0	0.9132918148
1	0.850206887
2	0.7911524992
3	0.7508078392
4	0.7207235249
5	0.690105299
6	0.6687145863
7	0.6511112282
8	0.6376078848
9	0.6247726054
10	0.6094258857
11	0.5969611751
12	0.5893144156
13	0.5792964276
14	0.5707684609
15	0.56146753
16	0.5533991908
17	0.5479015281
18	0.5398198125
19	0.5330380816
20	0.5276476314
21	0.5227262455
22	0.5178708402
23	0.5114205492
24	0.5048845649
25	0.4981165286
26	0.4935992884
27	0.4867914643
28	0.4844992094
29	0.4785729628
30	0.4742458313
31	0.4695480723
32	0.4640033866
33	0.4585712014
34	0.4544961398
35	0.4496274851
36	0.4427676909
37	0.4403317016
38	0.4338823729
39	0.4291368295
40	0.4225603559
41	0.4157382712
42	0.4116793212
43	0.4048301668
44	0.3998535085
45	0.3930865099
46	0.3880129961
47	0.3865965353
48	0.3826035125
49	0.3773643575
50	0.374629342
51	0.3677361499
52	0.3626388043
53	0.3563163698
54	0.3524185729
55	0.348431414
56	0.3470984585
57	0.3417043074
58	0.3383294647
59	0.3341791108
60	0.3301680797
61	0.3260550995
62	0.3216906176
63	0.3202916327
64	0.3158658609
65	0.3118907126
66	0.309186793
67	0.3056956728
68	0.3032694989
69	0.299802362
70	0.2965851607
71	0.2935588598
72	0.2906016599
73	0.2872680609
74	0.2862536336
75	0.284633797
76	0.2817895791
77	0.2784511751
78	0.2746980379
79	0.2711254583
80	0.2691399207
81	0.267771158
82	0.2653252803
83	0.264146856
84	0.2600732279
85	0.256994794
86	0.2542841754
87	0.2514286571
88	0.2489284622
89	0.2472993742
90	0.2451804683
91	0.242802909
92	0.2412044965
93	0.2379818318
94	0.2351860802
95	0.2315276679
96	0.2304260967
97	0.2275516734
98	0.2254895245
99	0.223544537
100	0.2207437668
101	0.2192152418
102	0.2179486206
103	0.2155664212
104	0.2129012872
105	0.2110478376
106	0.2083812141
107	0.2062463318
108	0.2041668753
109	0.202572559
110	0.1999567271
111	0.1974873048
112	0.1959977366
113	0.1950798048
114	0.1933356381
115	0.191901558
116	0.1905997342
117	0.1880985586
118	0.1869817072
119	0.1851529352
120	0.1829958152
121	0.1820080017
122	0.1799661422
123	0.1777030178
124	0.1758059071
125	0.1738333919
126	0.1721232235
127	0.1711139062
128	0.1692534092
129	0.1673980737
130	0.1651183931
131	0.1640197197
132	0.1620979303
133	0.1599487337
134	0.1583927196
135	0.1575637001
136	0.1566293451
137	0.1559130338
138	0.1545226772
139	0.1523756389
140	0.1507361903
141	0.149777564
142	0.1478540108
143	0.1458000923
144	0.1439056454
145	0.1431207279
146	0.1415652962
147	0.140468754
148	0.1392667487
149	0.1384275476
150	0.1368265608
151	0.1355740465
152	0.1344644888
153	0.1331135168
154	0.1319946359
155	0.1315816198
156	0.1305803826
157	0.1285451045
158	0.1272732964
159	0.125537001
160	0.1244241736
161	0.1232598468
162	0.1221122706
163	0.1207062172
164	0.1193472996
165	0.1178224021
166	0.1174327418
167	0.1163448529
168	0.1150697666
169	0.114100521
170	0.1130489413
171	0.1118703168
172	0.1107480614
173	0.1096614548
174	0.1085595397
175	0.107531045
176	0.1064791788
177	0.1056911888
178	0.1048782828
179	0.103988879
180	0.1032548217
181	0.1022825246
182	0.101530711
183	0.100695641
184	0.09982621538
185	0.09959391184
186	0.09900067582
187	0.09811421951
188	0.09679315357
189	0.09569673931
190	0.09413100937
191	0.09328233226
192	0.09231654066
193	0.09136083633
194	0.09032863494
195	0.08938337754
196	0.08871838449
197	0.08800222105
198	0.08736387
199	0.08657317464
