iter	Passed	Remaining
0	45	9088
1	88	8747
2	133	8748
3	176	8624
4	220	8593
5	265	8597
6	313	8643
7	361	8665
8	406	8630
9	452	8589
10	512	8811
11	559	8761
12	605	8706
13	654	8699
14	701	8651
15	751	8639
16	798	8598
17	848	8581
18	897	8546
19	940	8466
20	986	8407
21	1030	8336
22	1072	8253
23	1115	8177
24	1159	8113
25	1202	8050
26	1247	7993
27	1292	7939
28	1336	7882
29	1379	7819
30	1422	7756
31	1466	7701
32	1509	7641
33	1553	7582
34	1619	7635
35	1662	7573
36	1707	7523
37	1750	7461
38	1792	7400
39	1835	7343
40	1880	7293
41	1924	7241
42	1969	7191
43	2014	7143
44	2059	7093
45	2102	7039
46	2146	6987
47	2187	6928
48	2232	6880
49	2277	6833
50	2322	6784
51	2367	6737
52	2412	6689
53	2455	6639
54	2504	6603
55	2552	6564
56	2597	6516
57	2642	6470
58	2687	6422
59	2731	6374
60	2775	6325
61	2819	6276
62	2863	6226
63	2908	6181
64	2953	6133
65	2996	6084
66	3042	6039
67	3086	5991
68	3129	5942
69	3175	5896
70	3218	5848
71	3263	5802
72	3307	5754
73	3352	5708
74	3397	5662
75	3442	5616
76	3487	5570
77	3532	5525
78	3578	5480
79	3625	5438
80	3669	5390
81	3716	5347
82	3763	5305
83	3807	5257
84	3851	5210
85	3895	5163
86	3942	5120
87	3988	5075
88	4036	5033
89	4081	4989
90	4125	4941
91	4168	4893
92	4212	4846
93	4259	4803
94	4304	4757
95	4351	4714
96	4396	4668
97	4444	4625
98	4488	4579
99	4533	4533
100	4579	4489
101	4624	4442
102	4670	4398
103	4717	4354
104	4760	4306
105	4802	4259
106	4851	4216
107	4893	4168
108	4937	4122
109	4981	4075
110	5025	4029
111	5069	3983
112	5112	3936
113	5156	3890
114	5199	3842
115	5241	3795
116	5283	3748
117	5327	3701
118	5370	3655
119	5413	3609
120	5457	3563
121	5499	3515
122	5541	3468
123	5583	3422
124	5627	3376
125	5670	3330
126	5712	3283
127	5756	3238
128	5798	3191
129	5840	3144
130	5883	3098
131	5927	3053
132	5971	3008
133	6013	2962
134	6057	2916
135	6100	2870
136	6144	2825
137	6186	2779
138	6231	2734
139	6275	2689
140	6316	2643
141	6363	2599
142	6407	2554
143	6450	2508
144	6493	2462
145	6536	2417
146	6578	2371
147	6621	2326
148	6664	2280
149	6706	2235
150	6748	2190
151	6791	2144
152	6834	2099
153	6877	2054
154	6921	2009
155	6966	1965
156	7009	1919
157	7051	1874
158	7092	1828
159	7137	1784
160	7180	1739
161	7222	1694
162	7264	1649
163	7308	1604
164	7350	1559
165	7394	1514
166	7439	1469
167	7482	1425
168	7524	1380
169	7570	1336
170	7614	1291
171	7660	1247
172	7702	1202
173	7748	1157
174	7792	1113
175	7836	1068
176	7880	1023
177	7921	979
178	7963	934
179	8006	889
180	8048	844
181	8091	800
182	8134	755
183	8177	711
184	8220	666
185	8261	621
186	8304	577
187	8347	532
188	8392	488
189	8436	444
190	8480	399
191	8523	355
192	8567	310
193	8610	266
194	8654	221
195	8697	177
196	8741	133
197	8786	88
198	8828	44
199	8873	0
