feature_combination,features,feature_count,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
level2_U2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",256,TSV,adaboost_regressor,800,200,0.8226192580654477,0.7920372567765209,0.6038429898755063,0.3814034797787487
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,B,adaboost_regressor,800,200,0.7038903123184022,0.6760057121840967,0.4964542803656194,0.5880311659287129
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,SR,adaboost_regressor,800,200,0.6854836589734672,0.6760236161263206,0.4933917504463089,0.5025464985565173
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,S,adaboost_regressor,800,200,0.8087399063912076,0.8029192127386855,0.5992104619030559,0.4650715086922958
combined_U1_S1_U2_S2,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,U,adaboost_regressor,800,200,0.7558046325817844,0.7482822038502354,0.5509479653513645,0.5173293170401025
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,O,adaboost_regressor,800,200,0.8106547579334104,0.8046906759547848,0.6166738201475915,0.6421966263373499
level2_U2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",256,TSV,catboost_regressor,800,200,0.8351189714394612,0.7928972915710282,0.6082847924985222,0.3661262849357303
level2_U2_S2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",384,B,catboost_regressor,800,200,0.7353603262193958,0.6768652653197267,0.4945845129547366,0.5509616754423106
combined_U1_V1_U2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,SR,catboost_regressor,800,200,0.6979048282149632,0.689508891923027,0.5007038410152699,0.4933846558964843
level1_U1_S1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,S,catboost_regressor,800,200,0.8279295133214087,0.8245284816086333,0.6250565362935689,0.4427149023511601
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,U,catboost_regressor,800,200,0.8037071265934023,0.795441752420304,0.6010766791000723,0.4760971371204533
combined_U1_V1_U2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,O,catboost_regressor,800,200,0.8352518423724248,0.8217407707808917,0.6270774337336502,0.6082152810655291
level1_S1_V1,"S1_1, S1_2, S1_3, S1_4, S1_5...",512,TSV,decision_tree_regressor,800,200,0.7388074594274622,0.6736572084218974,0.5009388403573135,0.4766717802409578
level1_S1,"S1_1, S1_2, S1_3, S1_4, S1_5...",256,B,decision_tree_regressor,800,200,0.5473558146485753,0.5211479784063168,0.3676746425803455,0.7167648138894835
level2_U2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",256,SR,decision_tree_regressor,800,200,0.4819568604378476,0.4747538065756895,0.3311553772298949,0.6259126995254204
combined_S1_V1_S2_V2,"S1_1, S1_2, S1_3, S1_4, S1_5...",768,S,decision_tree_regressor,800,200,0.7118289514813247,0.6987803863886612,0.509063543359078,0.5710532277163051
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,U,decision_tree_regressor,800,200,0.6813229840517477,0.6712422127592547,0.493138360604395,0.5794352181391567
level1_U1_S1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,O,decision_tree_regressor,800,200,0.6952065656710034,0.6624995206666305,0.4892521034874224,0.7885887528499326
level2_U2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",256,TSV,extra_trees_regressor,800,200,0.8034832170708972,0.7611924404657386,0.5722695844088056,0.4039534740453141
combined_V1_V2,"V1_1, V1_2, V1_3, V1_4, V1_5...",384,B,extra_trees_regressor,800,200,0.6719014597012763,0.6178526712650171,0.4448942409175071,0.6230089726895397
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,SR,extra_trees_regressor,800,200,0.675793099053777,0.6677589513619187,0.4871305441202775,0.5308310946417163
level2_U2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",256,S,extra_trees_regressor,800,200,0.7922063736203006,0.7833854221748414,0.5807327008689888,0.4919307623894105
combined_U1_V1_U2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,U,extra_trees_regressor,800,200,0.7618294972257578,0.745785098554559,0.5524875517351628,0.5308883141551712
combined_V1_V2,"V1_1, V1_2, V1_3, V1_4, V1_5...",384,O,extra_trees_regressor,800,200,0.7895234933932167,0.7689027761422991,0.5839347476504595,0.6898376916195402
level2_U2_S2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",384,TSV,gradient_boosting_regressor,800,200,0.8335152238422825,0.8041643605616756,0.6223689520866794,0.3651278320615065
level2_U2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",256,B,gradient_boosting_regressor,800,200,0.7302301813404205,0.6789812427945069,0.490552847880722,0.5585837155865789
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,SR,gradient_boosting_regressor,800,200,0.6753809493755836,0.6402623283435115,0.4587774350507381,0.5038601206665294
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,S,gradient_boosting_regressor,800,200,0.820342849176425,0.810148361320532,0.6121915681884754,0.4508631794869607
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,U,gradient_boosting_regressor,800,200,0.7881030422603987,0.7902380267078225,0.592626396080088,0.4897782573117926
combined_U1_V1_U2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,O,gradient_boosting_regressor,800,200,0.8402207209820107,0.8341222381822925,0.6434696431312262,0.6007686455946686
combined_S1_V1_S2_V2,"S1_1, S1_2, S1_3, S1_4, S1_5...",768,TSV,mlp_regressor,800,200,0.8393690382219712,0.817265272161971,0.6229725589261719,0.3751495233530312
combined_U1_S1_U2_S2,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,B,mlp_regressor,800,200,0.7073887427303922,0.6844838343418262,0.4924678887908789,0.6016579411712878
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,SR,mlp_regressor,800,200,0.6751325846085864,0.6614880022591418,0.4842147988613532,0.5414569024394046
