feature_combination,features,feature_count,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,mlp_regressor,800,200,0.69864688104141,0.680523616663908,0.4890724416987622,0.5020310812102218
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,ridge_regressor,800,200,0.722970579334298,0.7300118658365818,0.5398760173560438,0.46748055201733785
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,decision_tree_regressor,800,200,0.5423828090649079,0.48619781558510794,0.3500069451168764,0.5851251623052864
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,random_forest_regressor,800,200,0.7489779865592525,0.7006771344231076,0.5194539859532158,0.4460447691801351
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,extra_trees_regressor,800,200,0.7351020051660188,0.6822592043116485,0.5027541967272579,0.45552009415620304
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,gradient_boosting_regressor,800,200,0.7779282177101188,0.735738405028673,0.5510427438866542,0.4166379352547159
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,adaboost_regressor,800,200,0.7773742282905993,0.7414490592591645,0.5580657859461354,0.42129112017714326
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,xgboost_regressor,800,200,0.7644638242542015,0.7172424709779895,0.5316267238829803,0.42791811333162
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,catboost_regressor,800,200,0.7884882832103498,0.7533035420738049,0.5647244989151499,0.40829967483374113
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,mlp_regressor,800,200,0.608633659778946,0.5864775483325168,0.4173781267873577,0.6697870185546391
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,ridge_regressor,800,200,0.6010681096680879,0.5613821004864612,0.39338971959697105,0.6514457647877889
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,decision_tree_regressor,800,200,0.4149270146872383,0.38859612548217964,0.26851512647420495,0.7867928811474657
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,random_forest_regressor,800,200,0.5892662145125303,0.5407661341999191,0.37847255882311714,0.6644248963052355
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,extra_trees_regressor,800,200,0.5926569729601607,0.5409161503271634,0.3762551430324092,0.6636526974301163
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,gradient_boosting_regressor,800,200,0.618555101192725,0.5710206366619047,0.4117337956837373,0.637391953770497
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,adaboost_regressor,800,200,0.5901809663095278,0.5646791926546121,0.4044323024188452,0.6624812241977034
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,xgboost_regressor,800,200,0.6265346950532253,0.5968751661118162,0.43572220287412394,0.632089893756882
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,catboost_regressor,800,200,0.6356483335696881,0.6059046368106481,0.43380716196396707,0.6258523529161323
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,mlp_regressor,800,200,0.5488811389125128,0.5239966369051594,0.3689925896638635,0.6312639064392123
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,ridge_regressor,800,200,0.5819804666793279,0.5834615249167086,0.41353311206743065,0.5583998285997307
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,decision_tree_regressor,800,200,0.3977107964424795,0.37282158428613693,0.2581371036101519,0.687387148572131
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,random_forest_regressor,800,200,0.6534876219041962,0.6438961937188199,0.4608888367899591,0.5466604705804103
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,extra_trees_regressor,800,200,0.6644400517648238,0.663517566697859,0.4819023112422065,0.549689534181304
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,gradient_boosting_regressor,800,200,0.6331078544419873,0.6174623544438207,0.44078024879737804,0.529091061213787
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,adaboost_regressor,800,200,0.6273277323347747,0.6237689893924181,0.4522205976180216,0.5335764875045865
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,xgboost_regressor,800,200,0.6076369618565091,0.5947598836398554,0.42258197666409214,0.5410331780039103
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,catboost_regressor,800,200,0.6148834747699788,0.6050097090720464,0.43494875827952956,0.5364620307291249
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,mlp_regressor,800,200,0.7562281550220934,0.7684397873247397,0.5681692554538584,0.539626706709355
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,ridge_regressor,800,200,0.764876948842455,0.7848052087343457,0.5864616319782883,0.5082450032754967
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,decision_tree_regressor,800,200,0.5316989980396192,0.5187069885803216,0.36384987020760506,0.6955010637101731
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,random_forest_regressor,800,200,0.7613366970089812,0.7548524374504767,0.5564098705452963,0.5187273409730453
