scaling_method,dataset_type,dataset_name,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
log,all_features,all_features_log,TSV,linear_regression,800,200,0.5912646184637597,0.5888869889844153,0.40999994572525045,0.7316148151971901
log,all_features,all_features_log,TSV,svr,800,200,0.8501504618417957,0.8290881192195915,0.6455072142672236,0.35113895337146706
log,all_features,all_features_log,TSV,random_forest,800,200,0.7908416291462599,0.7596511126281819,0.5754888208860987,0.4060905270647883
log,all_features,all_features_log,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log,all_features,all_features_log,B,linear_regression,800,200,0.4027348579849486,0.43367787184724227,0.29914954849188063,1.5136963381207889
log,all_features,all_features_log,B,svr,800,200,0.7244655703596815,0.7064589467412012,0.5234109182339407,0.5607350465036525
log,all_features,all_features_log,B,random_forest,800,200,0.6506937824718095,0.6034916274039241,0.43491586985932107,0.6222834251906691
log,all_features,all_features_log,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log,all_features,all_features_log,SR,linear_regression,800,200,0.2881782531477709,0.29673342129288627,0.20249348108529183,1.1706262785695256
log,all_features,all_features_log,SR,svr,800,200,0.7386016942336103,0.7498978092725286,0.5561030009348308,0.4581385730446917
log,all_features,all_features_log,SR,random_forest,800,200,0.637165820793818,0.6236515509509507,0.4478182545947815,0.5350948515496801
log,all_features,all_features_log,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
log,all_features,all_features_log,S,linear_regression,800,200,0.5413640254745556,0.5696321680284869,0.3990150263845423,0.9703517020443732
log,all_features,all_features_log,S,svr,800,200,0.838558842662541,0.8413859156875656,0.643851450634604,0.4271070985050357
log,all_features,all_features_log,S,random_forest,800,200,0.7742397540203024,0.7700343283841725,0.5681692554538584,0.4959168684275327
log,all_features,all_features_log,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
log,all_features,all_features_log,U,linear_regression,800,200,0.39597283598576255,0.43131745846757935,0.301695223534915,1.0574997152204053
log,all_features,all_features_log,U,svr,800,200,0.8071105679579552,0.8113536926033957,0.6118407300898142,0.46290121387153454
log,all_features,all_features_log,U,random_forest,800,200,0.7400950634445712,0.7312442178414033,0.5393091341682825,0.5287894289551659
log,all_features,all_features_log,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
log,all_features,all_features_log,O,linear_regression,800,200,0.540670513485888,0.5745254383819989,0.41277192314325517,1.2772987299281329
log,all_features,all_features_log,O,svr,800,200,0.8404694496035536,0.8372768572694194,0.6480956654152047,0.5852035220498858
log,all_features,all_features_log,O,random_forest,800,200,0.7850599691932505,0.7780801225878736,0.587756244319833,0.6741485434091657
log,all_features,all_features_log,O,gbm,800,200,0.8285121606511672,0.8201372102463512,0.6314017589121519,0.606523688939951
log,by_component,by_component_log,TSV,linear_regression,800,200,0.5953938994119328,0.600289064792951,0.41925525059746815,0.7121059066300803
log,by_component,by_component_log,TSV,svr,800,200,0.8469349540776379,0.8264629866495432,0.6430927869092538,0.3548742718924127
log,by_component,by_component_log,TSV,random_forest,800,200,0.790826897543969,0.7596511126281819,0.5754888208860987,0.40610268915971454
log,by_component,by_component_log,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log,by_component,by_component_log,B,linear_regression,800,200,0.4206083657490699,0.4472513310403027,0.3073136702667601,1.4010549488986037
log,by_component,by_component_log,B,svr,800,200,0.707758485727993,0.692648462067095,0.5106103816239445,0.574619848279801
log,by_component,by_component_log,B,random_forest,800,200,0.6507199914523675,0.6035118795811022,0.43491586985932107,0.6222681579031303
log,by_component,by_component_log,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log,by_component,by_component_log,SR,linear_regression,800,200,0.2969204036191717,0.2931558077035733,0.19907502112655304,1.126466637627614
log,by_component,by_component_log,SR,svr,800,200,0.7303890553672933,0.7387689559311815,0.5469535933982064,0.46490368452315534
log,by_component,by_component_log,SR,random_forest,800,200,0.6371987771562925,0.6236515509509507,0.4478182545947815,0.5350831189293753
log,by_component,by_component_log,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
log,by_component,by_component_log,S,linear_regression,800,200,0.5412639510434055,0.5693666611916858,0.4010251776509632,0.9381451821527304
log,by_component,by_component_log,S,svr,800,200,0.8323159025712455,0.8326421905366407,0.6321925732893631,0.43431043908935923
log,by_component,by_component_log,S,random_forest,800,200,0.7742245109346533,0.7700343283841725,0.5681692554538584,0.49593057635795534
log,by_component,by_component_log,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
log,by_component,by_component_log,U,linear_regression,800,200,0.42085817190461805,0.44573458381282527,0.3099443093401378,0.9843611025017743
log,by_component,by_component_log,U,svr,800,200,0.7976307290505971,0.7999141964133172,0.5998694958115033,0.4722709146015738
log,by_component,by_component_log,U,random_forest,800,200,0.7400937825266642,0.7312127164750261,0.5394097327756634,0.5287937345567618
log,by_component,by_component_log,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
log,by_component,by_component_log,O,linear_regression,800,200,0.5499280905349536,0.5822987318244582,0.4155877627943725,1.2302491886095617
log,by_component,by_component_log,O,svr,800,200,0.8322130233517234,0.8293430577678435,0.6394470150582015,0.5989219530254078
log,by_component,by_component_log,O,random_forest,800,200,0.7850544699422175,0.7780906229842642,0.5878568100216587,0.6741518159732137
log,by_component,by_component_log,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
log,s_only,s_only_log,TSV,linear_regression,800,200,0.6051885232860723,0.6182097197918551,0.437162253502411,0.6981980324500813
log,s_only,s_only_log,TSV,svr,800,200,0.839383119224271,0.8122347681198812,0.6273990090824499,0.3633826793630088
log,s_only,s_only_log,TSV,random_forest,800,200,0.7908339360390734,0.7596511126281819,0.5754888208860987,0.40609609798117335
log,s_only,s_only_log,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log,s_only,s_only_log,B,linear_regression,800,200,0.44767646390259785,0.46404563648529734,0.32354112218966874,1.2660581747610717
log,s_only,s_only_log,B,svr,800,200,0.6927589083118645,0.6712119075645269,0.49014968137332054,0.5867172405317821
log,s_only,s_only_log,B,random_forest,800,200,0.6506878056528832,0.6032801046645098,0.4348150782324707,0.6222860556485798
log,s_only,s_only_log,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log,s_only,s_only_log,SR,linear_regression,800,200,0.3130755655721892,0.3051726892398358,0.20581139810406773,1.0945760530546331
log,s_only,s_only_log,SR,svr,800,200,0.7042338004426488,0.7095450280708061,0.520711886067888,0.4832234706423753
log,s_only,s_only_log,SR,random_forest,800,200,0.6371506757452149,0.6235030462359228,0.44761716871485563,0.5351082525770725
log,s_only,s_only_log,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
log,s_only,s_only_log,S,linear_regression,800,200,0.5443535688246869,0.5716377196714424,0.4036383742973103,0.9133203097869096
log,s_only,s_only_log,S,svr,800,200,0.8197192487417411,0.8204176257540939,0.6202321732541588,0.44884610115598206
log,s_only,s_only_log,S,random_forest,800,200,0.7742118845709762,0.7702983351823477,0.5686717932704636,0.49593998933972827
log,s_only,s_only_log,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
log,s_only,s_only_log,U,linear_regression,800,200,0.4518214078311887,0.458699646174594,0.3169862118567913,0.9166082035250968
log,s_only,s_only_log,U,svr,800,200,0.7786910762937533,0.780459852577869,0.5830695283789155,0.49055924474707174
log,s_only,s_only_log,U,random_forest,800,200,0.7399317679283209,0.7308151992326486,0.5393091341682825,0.528919718964774
log,s_only,s_only_log,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
log,s_only,s_only_log,O,linear_regression,800,200,0.5576310835213486,0.5819034669031752,0.42001265367469975,1.2079123342170082
log,s_only,s_only_log,O,svr,800,200,0.8188796135926101,0.8152785268306573,0.6243621597843585,0.6197443733565663
log,s_only,s_only_log,O,random_forest,800,200,0.7850904270657816,0.7779946193601196,0.5878568100216587,0.6741068482851085
log,s_only,s_only_log,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
log1p,all_features,all_features_log1p,TSV,linear_regression,800,200,0.6203763841211617,0.6232732255005399,0.446015153814967,0.6645247379609536
log1p,all_features,all_features_log1p,TSV,svr,800,200,0.8317048672468019,0.8027602896556384,0.6184455076299784,0.37240618983660445
log1p,all_features,all_features_log1p,TSV,random_forest,800,200,0.7908374691757737,0.7597021152038285,0.5755894220260142,0.40609273817481717
log1p,all_features,all_features_log1p,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log1p,all_features,all_features_log1p,B,linear_regression,800,200,0.43985579999525976,0.44764737361622753,0.31305879299723083,1.231858083108587
log1p,all_features,all_features_log1p,B,svr,800,200,0.6863018959619996,0.6624697177493677,0.47755072801702503,0.5912988763733439
log1p,all_features,all_features_log1p,B,random_forest,800,200,0.6506878056528832,0.6032801046645098,0.4348150782324707,0.6222860556485798
log1p,all_features,all_features_log1p,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log1p,all_features,all_features_log1p,SR,linear_regression,800,200,0.32550473466305263,0.32552758550825606,0.22240098319794716,1.0816193777051681
log1p,all_features,all_features_log1p,SR,svr,800,200,0.695090399114812,0.6943262948756804,0.5093505338520796,0.4899866110073028
log1p,all_features,all_features_log1p,SR,random_forest,800,200,0.6371085150196137,0.6235645481886111,0.44771771165481855,0.5351261425791531
log1p,all_features,all_features_log1p,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
log1p,all_features,all_features_log1p,S,linear_regression,800,200,0.5288802911830287,0.5590621458504129,0.3968038599914793,0.9297826716834894
log1p,all_features,all_features_log1p,S,svr,800,200,0.8079397099409796,0.8043844629001459,0.6018392891664078,0.46212464078924476
log1p,all_features,all_features_log1p,S,random_forest,800,200,0.7742470844239403,0.7701213306244802,0.5683702705805004,0.4959084811466025
log1p,all_features,all_features_log1p,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
log1p,all_features,all_features_log1p,U,linear_regression,800,200,0.47029878816318094,0.4640721292069526,0.3294604391720062,0.8736601597300278
log1p,all_features,all_features_log1p,U,svr,800,200,0.7745247658327067,0.769367621450471,0.5739150551072658,0.49455142227749954
log1p,all_features,all_features_log1p,U,random_forest,800,200,0.7400493196639512,0.7308909525184601,0.5393091341682825,0.5288190311695702
log1p,all_features,all_features_log1p,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
log1p,all_features,all_features_log1p,O,linear_regression,800,200,0.5479432068315007,0.5730816338782615,0.41729737972540804,1.1839838763017818
log1p,all_features,all_features_log1p,O,svr,800,200,0.8149748076491449,0.825879427015501,0.6336142043523155,0.6344103288774565
log1p,all_features,all_features_log1p,O,random_forest,800,200,0.7854965473230416,0.7783231317614896,0.587756244319833,0.6736121351839617
log1p,all_features,all_features_log1p,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
log1p,by_component,by_component_log1p,TSV,linear_regression,800,200,0.6217680050293197,0.6245047876948311,0.4475241709136981,0.6618085553658184
log1p,by_component,by_component_log1p,TSV,svr,800,200,0.8306441991458033,0.8008791946597292,0.615628675712347,0.3736390352334503
log1p,by_component,by_component_log1p,TSV,random_forest,800,200,0.7908417213701316,0.7598656234610487,0.5757906243058449,0.40608937728471545
log1p,by_component,by_component_log1p,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log1p,by_component,by_component_log1p,B,linear_regression,800,200,0.44189702973426354,0.4475566138592448,0.31225245998242795,1.2180892636640246
log1p,by_component,by_component_log1p,B,svr,800,200,0.6851322339781271,0.6604647522087482,0.4759380619874192,0.5921398112502118
log1p,by_component,by_component_log1p,B,random_forest,800,200,0.6506878056528832,0.6032801046645098,0.4348150782324707,0.6222860556485798
log1p,by_component,by_component_log1p,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log1p,by_component,by_component_log1p,SR,linear_regression,800,200,0.3259198554411039,0.325071571029786,0.22230044025798423,1.0797398216960004
log1p,by_component,by_component_log1p,SR,svr,800,200,0.6839144650384547,0.6975086459153985,0.5031168715743796,0.5117506926293865
log1p,by_component,by_component_log1p,SR,random_forest,800,200,0.6371085150196137,0.6235645481886111,0.44771771165481855,0.5351261425791531
log1p,by_component,by_component_log1p,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
log1p,by_component,by_component_log1p,S,linear_regression,800,200,0.5279228414366037,0.5554103018154279,0.39469320116173745,0.9275725077981888
log1p,by_component,by_component_log1p,S,svr,800,200,0.8061225364007111,0.8024989143472703,0.6001306605899501,0.4640884305505685
log1p,by_component,by_component_log1p,S,random_forest,800,200,0.7742470844239403,0.7701213306244802,0.5683702705805004,0.4959084811466025
log1p,by_component,by_component_log1p,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
log1p,by_component,by_component_log1p,U,linear_regression,800,200,0.4751848281526201,0.46776528939839945,0.3290580447424831,0.8657810428338372
log1p,by_component,by_component_log1p,U,svr,800,200,0.7729606362225959,0.7670935228110586,0.5715006885301274,0.4960287875975977
