scaling_method,dataset_type,dataset_name,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
log,all_features,all_features_log,TSV,linear_regression,800,200,0.5912646184637597,0.5888869889844153,0.40999994572525045,0.7316148151971901
log,all_features,all_features_log,TSV,ridge_regression,800,200,0.8526230158701138,0.8307322022463189,0.6476198382054471,0.3486844455964322
log,all_features,all_features_log,TSV,svr,800,200,0.8501504618417957,0.8290881192195915,0.6455072142672236,0.35113895337146706
log,all_features,all_features_log,TSV,random_forest,800,200,0.7908416291462599,0.7596511126281819,0.5754888208860987,0.4060905270647883
log,all_features,all_features_log,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log,all_features,all_features_log,TSV,mlp,800,200,0.8501259660787507,0.8276105446015929,0.6458090176869697,0.3521763460722178
log,all_features,all_features_log,B,linear_regression,800,200,0.4027348579849486,0.43367787184724227,0.29914954849188063,1.5136963381207889
log,all_features,all_features_log,B,ridge_regression,800,200,0.7204027066815876,0.6889175609825303,0.503554967744419,0.5643045818296584
log,all_features,all_features_log,B,svr,800,200,0.7244655703596815,0.7064589467412012,0.5234109182339407,0.5607350465036525
log,all_features,all_features_log,B,random_forest,800,200,0.6506937824718095,0.6034916274039241,0.43491586985932107,0.6222834251906691
log,all_features,all_features_log,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log,all_features,all_features_log,B,mlp,800,200,0.7066141610232228,0.6896083852484901,0.5085945490869372,0.5851178499958569
log,all_features,all_features_log,SR,linear_regression,800,200,0.2881782531477709,0.29673342129288627,0.20249348108529183,1.1706262785695256
log,all_features,all_features_log,SR,ridge_regression,800,200,0.7292246227843567,0.7392879724099665,0.5491655380773902,0.4649305187853687
log,all_features,all_features_log,SR,svr,800,200,0.7386016942336103,0.7498978092725286,0.5561030009348308,0.4581385730446917
log,all_features,all_features_log,SR,random_forest,800,200,0.637165820793818,0.6236515509509507,0.4478182545947815,0.5350948515496801
log,all_features,all_features_log,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
log,all_features,all_features_log,SR,mlp,800,200,0.723389726211495,0.7283826261649748,0.5389101582011739,0.4688833869783676
log,all_features,all_features_log,S,linear_regression,800,200,0.5413640254745556,0.5696321680284869,0.3990150263845423,0.9703517020443732
log,all_features,all_features_log,S,ridge_regression,800,200,0.8361756776095512,0.8416124215200909,0.646062617027667,0.4310090880926949
log,all_features,all_features_log,S,svr,800,200,0.838558842662541,0.8413859156875656,0.643851450634604,0.4271070985050357
log,all_features,all_features_log,S,random_forest,800,200,0.7742397540203024,0.7700343283841725,0.5681692554538584,0.4959168684275327
log,all_features,all_features_log,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
log,all_features,all_features_log,S,mlp,800,200,0.8493044761900005,0.8457472779926464,0.6490778439272983,0.41520157527463053
log,all_features,all_features_log,U,linear_regression,800,200,0.39597283598576255,0.43131745846757935,0.301695223534915,1.0574997152204053
log,all_features,all_features_log,U,ridge_regression,800,200,0.8138885186692882,0.815281612977605,0.6169712590662333,0.4557424580516184
log,all_features,all_features_log,U,svr,800,200,0.8071105679579552,0.8113536926033957,0.6118407300898142,0.46290121387153454
log,all_features,all_features_log,U,random_forest,800,200,0.7400950634445712,0.7312442178414033,0.5393091341682825,0.5287894289551659
log,all_features,all_features_log,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
log,all_features,all_features_log,U,mlp,800,200,0.7928652730003664,0.7909618081019627,0.5890048462143805,0.47537726167376354
log,all_features,all_features_log,O,linear_regression,800,200,0.540670513485888,0.5745254383819989,0.41277192314325517,1.2772987299281329
log,all_features,all_features_log,O,ridge_regression,800,200,0.8439451473017596,0.8407997402585387,0.6464866141859947,0.5786569797334797
log,all_features,all_features_log,O,svr,800,200,0.8404694496035536,0.8372768572694194,0.6480956654152047,0.5852035220498858
log,all_features,all_features_log,O,random_forest,800,200,0.7850599691932505,0.7780801225878736,0.587756244319833,0.6741485434091657
log,all_features,all_features_log,O,gbm,800,200,0.8285121606511672,0.8201372102463512,0.6314017589121519,0.606523688939951
log,all_features,all_features_log,O,mlp,800,200,0.8277348787441818,0.8255014127454315,0.6312006275085006,0.6055699529121453
log,by_component,by_component_log,TSV,linear_regression,800,200,0.5953938994119328,0.600289064792951,0.41925525059746815,0.7121059066300803
log,by_component,by_component_log,TSV,ridge_regression,800,200,0.8537253754629717,0.830665448875252,0.6480222427651089,0.34682594614819
log,by_component,by_component_log,TSV,svr,800,200,0.8469349540776379,0.8264629866495432,0.6430927869092538,0.3548742718924127
log,by_component,by_component_log,TSV,random_forest,800,200,0.790826897543969,0.7596511126281819,0.5754888208860987,0.40610268915971454
log,by_component,by_component_log,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log,by_component,by_component_log,TSV,mlp,800,200,0.8411327270835282,0.8229828108995363,0.6377609264937371,0.36243503299449975
log,by_component,by_component_log,B,linear_regression,800,200,0.4206083657490699,0.4472513310403027,0.3073136702667601,1.4010549488986037
log,by_component,by_component_log,B,ridge_regression,800,200,0.7085250180549126,0.6768397625780951,0.4943829297010359,0.5743723306349969
log,by_component,by_component_log,B,svr,800,200,0.707758485727993,0.692648462067095,0.5106103816239445,0.574619848279801
log,by_component,by_component_log,B,random_forest,800,200,0.6507199914523675,0.6035118795811022,0.43491586985932107,0.6222681579031303
log,by_component,by_component_log,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log,by_component,by_component_log,B,mlp,800,200,0.6846625392178983,0.6826258846059062,0.500228844058357,0.6214139250023692
log,by_component,by_component_log,SR,linear_regression,800,200,0.2969204036191717,0.2931558077035733,0.19907502112655304,1.126466637627614
log,by_component,by_component_log,SR,ridge_regression,800,200,0.7237763227605166,0.7320749933977186,0.5424291610998756,0.46872112143442024
log,by_component,by_component_log,SR,svr,800,200,0.7303890553672933,0.7387689559311815,0.5469535933982064,0.46490368452315534
log,by_component,by_component_log,SR,random_forest,800,200,0.6371987771562925,0.6236515509509507,0.4478182545947815,0.5350831189293753
log,by_component,by_component_log,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
log,by_component,by_component_log,SR,mlp,800,200,0.7111105774727815,0.7138801657115251,0.5227227448671461,0.4777885700048425
log,by_component,by_component_log,S,linear_regression,800,200,0.5412639510434055,0.5693666611916858,0.4010251776509632,0.9381451821527304
log,by_component,by_component_log,S,ridge_regression,800,200,0.830391138224897,0.8346207414843281,0.6378209968353414,0.43734012741487366
log,by_component,by_component_log,S,svr,800,200,0.8323159025712455,0.8326421905366407,0.6321925732893631,0.43431043908935923
log,by_component,by_component_log,S,random_forest,800,200,0.7742245109346533,0.7700343283841725,0.5681692554538584,0.49593057635795534
log,by_component,by_component_log,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
log,by_component,by_component_log,S,mlp,800,200,0.8300336016729375,0.8196098549539956,0.6208352186340852,0.43851431594339846
log,by_component,by_component_log,U,linear_regression,800,200,0.42085817190461805,0.44573458381282527,0.3099443093401378,0.9843611025017743
log,by_component,by_component_log,U,ridge_regression,800,200,0.8092691515311876,0.8125889961848972,0.6152610827407603,0.4608854832270359
log,by_component,by_component_log,U,svr,800,200,0.7976307290505971,0.7999141964133172,0.5998694958115033,0.4722709146015738
log,by_component,by_component_log,U,random_forest,800,200,0.7400937825266642,0.7312127164750261,0.5394097327756634,0.5287937345567618
log,by_component,by_component_log,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
log,by_component,by_component_log,U,mlp,800,200,0.7886697186980002,0.7858038343739816,0.5847797047043884,0.48048034564180603
log,by_component,by_component_log,O,linear_regression,800,200,0.5499280905349536,0.5822987318244582,0.4155877627943725,1.2302491886095617
log,by_component,by_component_log,O,ridge_regression,800,200,0.8405815183375758,0.8376113698972983,0.6440730373421799,0.5844925615644407
log,by_component,by_component_log,O,svr,800,200,0.8322130233517234,0.8293430577678435,0.6394470150582015,0.5989219530254078
log,by_component,by_component_log,O,random_forest,800,200,0.7850544699422175,0.7780906229842642,0.5878568100216587,0.6741518159732137
log,by_component,by_component_log,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
log,by_component,by_component_log,O,mlp,800,200,0.8470083433607035,0.838586406705017,0.6470900083969485,0.5734544891017173
log,s_only,s_only_log,TSV,linear_regression,800,200,0.6051885232860723,0.6182097197918551,0.437162253502411,0.6981980324500813
log,s_only,s_only_log,TSV,ridge_regression,800,200,0.8482546433102414,0.826984262974167,0.6409801629710302,0.3540399727323259
log,s_only,s_only_log,TSV,svr,800,200,0.839383119224271,0.8122347681198812,0.6273990090824499,0.3633826793630088
log,s_only,s_only_log,TSV,random_forest,800,200,0.7908339360390734,0.7596511126281819,0.5754888208860987,0.40609609798117335
log,s_only,s_only_log,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log,s_only,s_only_log,TSV,mlp,800,200,0.832908863459807,0.8019097467029427,0.6170370916711627,0.37060757761945323
log,s_only,s_only_log,B,linear_regression,800,200,0.44767646390259785,0.46404563648529734,0.32354112218966874,1.2660581747610717
log,s_only,s_only_log,B,ridge_regression,800,200,0.681775666631099,0.6544956105056993,0.47382143782356156,0.5956678874688838
log,s_only,s_only_log,B,svr,800,200,0.6927589083118645,0.6712119075645269,0.49014968137332054,0.5867172405317821
log,s_only,s_only_log,B,random_forest,800,200,0.6506878056528832,0.6032801046645098,0.4348150782324707,0.6222860556485798
log,s_only,s_only_log,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log,s_only,s_only_log,B,mlp,800,200,0.6732151314837098,0.6574179246644174,0.4763412284948207,0.6206823742015076
log,s_only,s_only_log,SR,linear_regression,800,200,0.3130755655721892,0.3051726892398358,0.20581139810406773,1.0945760530546331
